Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Lesotho,LSO,"Population, total",SP.POP.TOTL,2330318
Lesotho,LSO,"Population, male",SP.POP.TOTL.MA.IN,1149224
Lesotho,LSO,"Population, female",SP.POP.TOTL.FE.IN,1181093
Liberia,LBR,"Population, total",SP.POP.TOTL,5418377
Liberia,LBR,"Population, male",SP.POP.TOTL.MA.IN,2699486
Liberia,LBR,"Population, female",SP.POP.TOTL.FE.IN,2718890
Libya,LBY,"Population, total",SP.POP.TOTL,6888388
Libya,LBY,"Population, male",SP.POP.TOTL.MA.IN,3483751
Libya,LBY,"Population, female",SP.POP.TOTL.FE.IN,3404637
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,39584
Liechtenstein,LIE,"Population, male",SP.POP.TOTL.MA.IN,19643
Liechtenstein,LIE,"Population, female",SP.POP.TOTL.FE.IN,19942
Lithuania,LTU,"Population, total",SP.POP.TOTL,2871897
Lithuania,LTU,"Population, male",SP.POP.TOTL.MA.IN,1349279
Lithuania,LTU,"Population, female",SP.POP.TOTL.FE.IN,1522617
Luxembourg,LUX,"Population, total",SP.POP.TOTL,668606
Luxembourg,LUX,"Population, male",SP.POP.TOTL.MA.IN,336522
Luxembourg,LUX,"Population, female",SP.POP.TOTL.FE.IN,332084
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,704149
"Macao SAR, China",MAC,"Population, male",SP.POP.TOTL.MA.IN,329909
"Macao SAR, China",MAC,"Population, female",SP.POP.TOTL.FE.IN,374241
Madagascar,MDG,"Population, total",SP.POP.TOTL,30325732
Madagascar,MDG,"Population, male",SP.POP.TOTL.MA.IN,15190700
Madagascar,MDG,"Population, female",SP.POP.TOTL.FE.IN,15135032
Malawi,MWI,"Population, total",SP.POP.TOTL,20931751
Malawi,MWI,"Population, male",SP.POP.TOTL.MA.IN,10184498
Malawi,MWI,"Population, female",SP.POP.TOTL.FE.IN,10747253
Malaysia,MYS,"Population, total",SP.POP.TOTL,34308525
Malaysia,MYS,"Population, male",SP.POP.TOTL.MA.IN,17520258
Malaysia,MYS,"Population, female",SP.POP.TOTL.FE.IN,16788267
Maldives,MDV,"Population, total",SP.POP.TOTL,521021
Maldives,MDV,"Population, male",SP.POP.TOTL.MA.IN,298591
Maldives,MDV,"Population, female",SP.POP.TOTL.FE.IN,222431
Mali,MLI,"Population, total",SP.POP.TOTL,23293698
Mali,MLI,"Population, male",SP.POP.TOTL.MA.IN,11758772
Mali,MLI,"Population, female",SP.POP.TOTL.FE.IN,11534926
Malta,MLT,"Population, total",SP.POP.TOTL,553214
Malta,MLT,"Population, male",SP.POP.TOTL.MA.IN,288481
Malta,MLT,"Population, female",SP.POP.TOTL.FE.IN,264733
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,41996
Marshall Islands,MHL,"Population, male",SP.POP.TOTL.MA.IN,21425
Marshall Islands,MHL,"Population, female",SP.POP.TOTL.FE.IN,20571
Mauritania,MRT,"Population, total",SP.POP.TOTL,4862989
Mauritania,MRT,"Population, male",SP.POP.TOTL.MA.IN,2384716
Mauritania,MRT,"Population, female",SP.POP.TOTL.FE.IN,2478273
Mauritius,MUS,"Population, total",SP.POP.TOTL,1261041
Mauritius,MUS,"Population, male",SP.POP.TOTL.MA.IN,621354
Mauritius,MUS,"Population, female",SP.POP.TOTL.FE.IN,639687
Mexico,MEX,"Population, total",SP.POP.TOTL,128455567
Mexico,MEX,"Population, male",SP.POP.TOTL.MA.IN,62641366
Mexico,MEX,"Population, female",SP.POP.TOTL.FE.IN,65814200
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,115224
"Micronesia, Fed. Sts.",FSM,"Population, male",SP.POP.TOTL.MA.IN,57891
"Micronesia, Fed. Sts.",FSM,"Population, female",SP.POP.TOTL.FE.IN,57334
Moldova,MDA,"Population, total",SP.POP.TOTL,2486891
Moldova,MDA,"Population, male",SP.POP.TOTL.MA.IN,1186128
Moldova,MDA,"Population, female",SP.POP.TOTL.FE.IN,1300763
Monaco,MCO,"Population, total",SP.POP.TOTL,36297
Monaco,MCO,"Population, male",SP.POP.TOTL.MA.IN,17783
Monaco,MCO,"Population, female",SP.POP.TOTL.FE.IN,18515
Mongolia,MNG,"Population, total",SP.POP.TOTL,3447157
Mongolia,MNG,"Population, male",SP.POP.TOTL.MA.IN,1708447
Mongolia,MNG,"Population, female",SP.POP.TOTL.FE.IN,1738709
